"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/21/2017","AQS","530530024","1","27.6","ppb","25","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/22/2017","AQS","530530024","1","22.6","ppb","21","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/23/2017","AQS","530530024","1","34","ppb","32","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/24/2017","AQS","530530024","1","27.2","ppb","25","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/25/2017","AQS","530530024","1","26.2","ppb","25","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/26/2017","AQS","530530024","1","21","ppb","20","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/27/2017","AQS","530530024","1","27.3","ppb","25","Tacoma-S 36th St","19","79.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/28/2017","AQS","530530024","1","32","ppb","30","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/29/2017","AQS","530530024","1","20.9","ppb","19","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/30/2017","AQS","530530024","1","39","ppb","37","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"10/31/2017","AQS","530530024","1","33.2","ppb","31","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/01/2017","AQS","530530024","1","19.2","ppb","18","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/02/2017","AQS","530530024","1","26","ppb","25","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/03/2017","AQS","530530024","1","23.4","ppb","22","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/04/2017","AQS","530530024","1","22.5","ppb","21","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/05/2017","AQS","530530024","1","27.5","ppb","25","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/06/2017","AQS","530530024","1","28.8","ppb","26","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/07/2017","AQS","530530024","1","37.7","ppb","35","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/08/2017","AQS","530530024","1","38.8","ppb","36","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/09/2017","AQS","530530024","1","31.4","ppb","29","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/10/2017","AQS","530530024","1","26.4","ppb","25","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/11/2017","AQS","530530024","1","22.9","ppb","21","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/12/2017","AQS","530530024","1","21.9","ppb","20","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/13/2017","AQS","530530024","1","21.5","ppb","20","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/14/2017","AQS","530530024","1","16.9","ppb","15","Tacoma-S 36th St","24","100.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/15/2017","AQS","530530024","1","28.5","ppb","26","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/16/2017","AQS","530530024","1","29","ppb","27","Tacoma-S 36th St","22","92.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/17/2017","AQS","530530024","1","26.1","ppb","25","Tacoma-S 36th St","20","83.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/18/2017","AQS","530530024","1","25.4","ppb","24","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
"11/19/2017","AQS","530530024","1","20.3","ppb","19","Tacoma-S 36th St","23","96.0000","42602","Nitrogen dioxide (NO2)","42660","Seattle-Tacoma-Bellevue, WA","53","Washington","053","Pierce","47.22634","-122.46256"
